country,id,value,extraInfo,text_content,link_text,link_url_target,audio_url_1,audio_url_2,audio_url_3,image_url_source,image_url_target,video_url
Belgium,BE,0.161,false,"",,,,,,,,
Bulgaria,BG,0.140,false,"",,,,,,,,
Czechia,CZ,0.155,false,"",,,,,,,,
Denmark,DK,0.155,false,"",,,,,,,,
Germany,DE,0.139,false,"",,,,,,,,
Estonia,EE,0.156,false,"",,,,,,,,
Ireland,IE,0.185,false,"",,,,,,,,
Greece,EL,0.128,false,"",,,,,,,,
Spain,ES,0.129,false,"",,,,,,,,
France,FR,0.166,false,"",,,,,,,,
Croatia,HR,0.138,false,"",,,,,,,,
Italy,IT,0.119,false,"",,,,,,,,
Cyprus,CY,0.152,false,"",,,,,,,,
Latvia,LV,0.151,false,"",,,,,,,,
Lithuania,LT,0.141,false,"",,,,,,,,
Luxembourg,LU,0.157,false,"",,,,,,,,
Hungary,HU,0.143,false,"",,,,,,,,
Malta,MT,0.121,false,"",,,,,,,,
Netherlands,NL,0.150,false,"",,,,,,,,
Austria,AT,0.143,false,"",,,,,,,,
Poland,PL,0.148,false,"",,,,,,,,
Portugal,PT,0.126,false,"",,,,,,,,
Romania,RO,0.154,false,"",,,,,,,,
Slovenia,SI,0.145,false,"",,,,,,,,
Slovakia,SK,0.158,false,"",,,,,,,,
Finland,FI,0.146,false,"",,,,,,,,
Sweden,SE,0.168,false,"",,,,,,,,
